# litman journal full-name -> ISO4 abbreviation table.
# Source: JabRef abbrv.jabref.org (CC0 1.0). Merged: ACS + life-science
# lists, de-duplicated by normalized full name (ACS precedence).
# Columns: "Full journal name","ISO4 abbreviation". Loader skips # lines.
"AACN Clinical Issues","AACN Clin. Issues"
"Journal of Atmospheric Chemistry","J. Atmos. Chem."
"Journal of Attention Disorders","J. Atten. Disord."
"Journal of Audiovisual Media in Medicine","J. Audiov. Media Med."
"Journal of Auditory Research","J. Aud. Res."
"Journal of Autism and Childhood Schizophrenia","J. Autism Child. Schizophr."
"Journal of Autism and Developmental Disorders","J. Autism Dev. Disord."
"Journal of Autoimmunity","J. Autoimmun."
"Journal of Autonomic Pharmacology","J. Auton. Pharmacol."
"Journal of Bacteriology","J. Bacteriol."
"Journal of Basic and Clinical Physiology and Pharmacology","J. Basic Clin. Physiol. Pharmacol."
"Journal of Basic Microbiology","J. Basic Microbiol."
"Journal of Behavior Therapy and Experimental Psychiatry","J. Behav. Ther. Exp. Psychiatry"
"Journal of Behavioral Health Services and Research","J. Behav. Health Serv. Res."
"Journal of Behavioral Medicine","J. Behav. Med."
"Journal of Biobased Materials and Bioenergy","J. Biobased Mater. Bioenergy"
"Journal of Biochemical and Biophysical Methods","J. Biochem. Biophys. Methods"
"Journal of Biochemical and Molecular Toxicology","J. Biochem. Mol. Toxicol."
"Journal of biochemical toxicology","J. Biochem. Toxicol."
"Journal of Biochemistry","J. Biochem."
"Journal of Biochemistry, Molecular Biology, and Biophysics","J. Biochem. Mol. Biol. Biophys."
"Journal of Biocommunication","J. Biocommun."
"Journal of Bioenergetics","J. Bioenerg."
"Journal of Bioenergetics and Biomembranes","J. Bioenerg. Biomembr."
"Journal of Bioengineering","J. Bioeng."
"Journal of Bioethics","J. Bioeth."
"Journal of Bioinformatics and Computational Biology","J. Bioinform. Comput. Biol."
"Journal of Biological Chemistry","J. Biol. Chem."
"Journal of Biological Inorganic Chemistry","J. Biol. Inorg. Chem."
"Journal of Biological Photography","J. Biol. Photogr."
"Journal of Biological Regulators and Homeostatic Agents","J. Biol. Regul. Homeost. Agents"
"Journal of Biological Response Modifiers","J. Biol. Response Mod."
"Journal of Biological Rhythms","J. Biol. Rhythms"
"Journal of Biological Standardization","J. Biol. Stand."
"Journal of Biology","J. Biol."
"Journal of Bioluminescence and Chemiluminescence","J. Biolumin. Chemilumin."
"Journal of Biomaterials Applications","J. Biomater. Appl."
"Journal of Biomaterials Science, Polymer Edition","J. Biomater. Sci., Polym. Ed."
"Journal of Biomechanical Engineering","J. Biomech. Eng."
"Journal of Biomechanics","J. Biomech."
"Journal of Biomedical Engineering","J. Biomed. Eng."
"Journal of Biomedical Informatics","J. Biomed. Inform."
"Journal of Biomedical Materials Research","J. Biomed. Mater. Res."
"Journal of Biomedical Materials Research, Part A","J. Biomed. Mater. Res., Part A"
"Journal of Biomedical Materials Research, Part B: Applied Biomaterials","J. Biomed. Mater. Res., Part B"
"Journal of Biomedical Materials Research. Part A","J. Biomed. Mater. Res. A"
"Journal of Biomedical Materials Research. Part B, Applied Biomaterials","J. Biomed. Mater. Res. B Appl. Biomater."
"Journal of Biomedical Nanotechnology","J. Biomed. Nanotechnol."
"Journal of Biomedical Optics","J. Biomed. Opt."
"Journal of Biomedical Science","J. Biomed. Sci."
"Journal of Biomolecular NMR","J. Biomol. NMR"
"Journal of Biomolecular Screening","J. Biomol. Screen."
"Journal of Biomolecular Structure and Dynamics","J. Biomol. Struct. Dyn."
"Journal of Bionanoscience","J. Bionanosci."
"Journal of Biopharmaceutical Statistics","J. Biopharm. Stat."
"Journal of Bioremediation & Biodegradation","J. Biorem. Biodegrad."
"Journal of Bioscience and Bioengineering","J. Biosci. Bioeng."
"Journal of Biosocial Science","J. Biosoc. Sci."
"Journal of Biosocial Science. Supplement","J. Biosoc. Sci. Suppl."
"Journal of Biotechnology","J. Biotechnol."
"Journal of Bone and Joint Surgery. American Volume","J. Bone Joint Surg. Am."
"Journal of Bone and Joint Surgery. British Volume","J. Bone Joint Surg. Br."
"Journal of Bone and Mineral Metabolism","J. Bone Miner. Metab."
"Journal of Bone and Mineral Research","J. Bone Miner. Res."
"Journal of Burn Care and Rehabilitation","J. Burn Care Rehabil."
"Journal of Burn Care and Research","J. Burn Care Res."
"Journal of Business Strategy","J. Bus. Strategy"
"Journal of Cancer Education","J. Cancer Educ."
"Journal of Cancer Epidemiology and Prevention","J. Cancer Epidemiol. Prev."
"Journal of Cancer Research and Clinical Oncology","J. Cancer Res. Clin. Oncol."
"Journal of Capillary Electrophoresis","J. Capillary Electrophor."
"Journal of Carbohydrate Chemistry","J. Carbohydr. Chem."
"Journal of Cardiac Failure","J. Card. Fail."
"Journal of Cardiac Surgery","J. Card. Surg."
"Journal of Cardiography","J. Cardiogr."
"Journal of Cardiography. Supplement","J. Cardiogr. Suppl."
"Journal of Cardiology","J. Cardiol."
"Journal of Cardiology. Supplement","J. Cardiol. Suppl."
"Journal of Cardiopulmonary Rehabilitation","J. Cardpulm. Rehabil."
"Journal of Cardiothoracic and Vascular Anesthesia","J. Cardiothorac. Vasc. Anesth."
"Journal of Cardiothoracic Anesthesia","J. Cardiothorac. Anesth."
"Journal of Cardiovascular Electrophysiology","J. Cardiovasc. Electrophysiol."
"Journal of Cardiovascular Magnetic Resonance","J. Cardiovasc. Magn. Reson."
"Journal of Cardiovascular Management","J. Cardiovasc. Manag."
"Journal of Cardiovascular Medicine","J. Cardiovasc. Med."
"Journal of Cardiovascular Nursing","J. Cardiovasc. Nurs."
"Journal of Cardiovascular Pharmacology","J. Cardiovasc. Pharmacol."
"Journal of Cardiovascular Pharmacology and Therapeutics","J. Cardiovasc. Pharmacol. Ther."
"Journal of Cardiovascular Risk","J. Cardiovasc. Risk"
"Journal of Cardiovascular Surgery","J. Cardiovasc. Surg. (Torino)"
"Journal of Case Management","J. Case Manag."
"Journal of Catalysis","J. Catal."
"Journal of Catalysts","J. Catal."
"Journal of Cataract and Refractive Surgery","J. Cataract Refract. Surg."
"Journal of Cell Biology","J. Cell Biol."
"Journal of Cell Science","J. Cell Sci."
"Journal of Cell Science. Supplement","J. Cell Sci. Suppl."
"Journal of Cellular and Molecular Medicine","J. Cell. Mol. Med."
"Journal of Cellular Biochemistry","J. Cell. Biochem."
"Journal of Cellular Biochemistry. Supplement","J. Cell. Biochem. Suppl."
"Journal of Cellular Physiology","J. Cell. Physiol."
"Journal of Cellular Physiology. Supplement","J. Cell. Physiol. Suppl."
"Journal of Ceramics","J. Ceram."
"Journal of Cerebral Blood Flow and Metabolism","J. Cereb. Blood Flow Metab."
"Journal of Chemical & Engineering Data","J. Chem. Eng. Data"
"Journal of Chemical Crystallography","J. Chem. Crystallogr."
"Journal of Chemical Documentation","J. Chem. Doc."
"Journal of Chemical Ecology","J. Chem. Ecol."
"Journal of Chemical Education","J. Chem. Educ."
"Journal of Chemical Engineering of Japan","J. Chem. Eng. Jpn."
"Journal of Chemical Information and Computer Sciences","J. Chem. Inf. Comput. Sci."
"Journal of Chemical Information and Modeling","J. Chem. Inf. Model."
"Journal of Chemical Neuroanatomy","J. Chem. Neuroanat."
"Journal of Chemical Research","J. Chem. Res."
"Journal of Chemical Sciences (Berlin, Germany)","J. Chem. Sci. (Berlin, Ger.)"
"Journal of Chemical Technology and Biotechnology","J. Chem. Technol. Biotechnol."
"Journal of Chemical Theory and Computation","J. Chem. Theory Comput."
"Journal of Chemical Thermodynamics","J. Chem. Thermodyn."
"Journal of Chemometrics","J. Chemom."
"Journal of Chemotherapy","J. Chemother."
"Journal of Child and Adolescent Psychiatric and Mental Health Nursing","J. Child Adolesc. Psychiatr. Ment. Health Nurs."
"Journal of Child and Adolescent Psychiatric Nursing","J. Child Adolesc. Psychiatr. Nurs."
"Journal of Child and Adolescent Psychopharmacology","J. Child Adolesc. Psychopharmacol."
"Journal of Child Language","J. Child Lang."
"Journal of Child Neurology","J. Child Neurol."
"Journal of Child Psychology and Psychiatry and Allied Disciplines","J. Child Psychol. Psychiatry"
"Journal of Christian Nursing","J. Christ. Nurs."
"Journal of Chromatographic Science","J. Chromatogr. Sci."
"Journal of Chromatography","J. Chromatogr."
"Journal of Chromatography A","J. Chromatogr. A"
"Journal of Chromatography and Separation Techniques","J. Chromatogr. Sep. Tech."
"Journal of Chromatography B, Biomedical Applications","J. Chromatogr. B Biomed. Appl."
"Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences","J. Chromatogr. B: Anal. Technol. Biomed. Life Sci."
"Journal of Chromatography. B, Analytical Technologies in the Biomedical and Life Sciences","J. Chromatogr. B Analyt. Technol. Biomed. Life. Sci."
"Journal of Chromatography. B, Biomedical Sciences and Applications","J. Chromatogr. B. Biomed. Sci. App."
"Journal of Chromatography. Supplementary Volume","J. Chromatogr. Suppl."
"Journal of Chronic Diseases","J. Chronic Dis."
"Journal of Clinical and Experimental Hematopathology","J. Clin. Exp. Hematop."
"Journal of Clinical and Experimental Neuropsychology","J. Clin. Exp. Neuropsychol."
"Journal of Clinical and Hospital Pharmacy","J. Clin. Hosp. Pharm."
"Journal of Clinical and Laboratory Immunology","J. Clin. Lab. Immunol."
"Journal of Clinical Anesthesia","J. Clin. Anesth."
"Journal of Clinical Apheresis","J. Clin. Apheresis"
"Journal of Clinical Chemistry and Clinical Biochemistry","J. Clin. Chem. Clin. Biochem."
"Journal of Clinical Child and Adolescent Psychology","J. Clin. Child Adolesc. Psychol."
"Journal of Clinical Child Psychology","J. Clin. Child Psychol."
"Journal of Clinical Computing","J. Clin. Comput."
"Journal of Clinical Densitometry","J. Clin. Densitom."
"Journal of Clinical Dentistry","J. Clin. Dent."
"Journal of Clinical Dysmorphology","J. Clin. Dysmorphol."
"Journal of Clinical Endocrinology and Metabolism","J. Clin. Endocrinol. Metab."
"Journal of Clinical Engineering","J. Clin. Eng."
"Journal of Clinical Epidemiology","J. Clin. Epidemiol."
"Journal of Clinical Ethics","J. Clin. Ethics"
"Journal of clinical gastroenterology","J. Clin. Gastroenterol."
"Journal of Clinical Hypertension","J. Clin. Hypertens."
"Journal of Clinical Immunology","J. Clin. Immunol."
"Journal of Clinical Investigation","J. Clin. Invest."
"Journal of Clinical Laboratory Analysis","J. Clin. Lab. Anal."
"Journal of Clinical Laser Medicine and Surgery","J. Clin. Laser Med. Surg."
"Journal of Clinical Microbiology","J. Clin. Microbiol."
"Journal of Clinical Monitoring","J. Clin. Monit."
"Journal of Clinical Monitoring and Computing","J. Clin. Monit. Comput."
"Journal of Clinical Neuro-Ophthalmology","J. Clin. Neuroophthalmol."
"Journal of Clinical Neurophysiology","J. Clin. Neurophysiol."
"Journal of Clinical Neuropsychology","J. Clin. Neuropsychol."
"Journal of Clinical Nursing","J. Clin. Nurs."
"Journal of Clinical Oncology","J. Clin. Oncol."
"Journal of Clinical Orthodontics","J. Clin. Orthod."
"Journal of Clinical Pathology","J. Clin. Pathol."
"Journal of Clinical Pathology. Supplement (Association of Clinical Pathologists)","J. Clin. Pathol. Suppl. (Assoc. Clin. Pathol.)"
"Journal of Clinical Pathology. Supplement (Royal College of Pathologists)","J. Clin. Pathol. Suppl. (R. Coll. Pathol.)"
"Journal of Clinical Pediatric Dentistry","J. Clin. Pediatr. Dent."
"Journal of Clinical Periodontology","J. Clin. Periodontol."
"Journal of Clinical Pharmacology","J. Clin. Pharmacol."
"Journal of Clinical Pharmacology and New Drugs","J. Clin. Pharmacol. New Drugs"
"Journal of Clinical Pharmacology and the Journal of New Drugs","J. Clin. Pharmacol. J. New Drugs"
"Journal of Clinical Pharmacy and Therapeutics","J. Clin. Pharm. Ther."
"Journal of Clinical Psychiatry","J. Clin. Psychiatry"
"Journal of Clinical Psychology","J. Clin. Psychol."
"Journal of Clinical Psychopharmacology","J. Clin. Psychopharmacol."
"Journal of Clinical Stomatology Conferences","J. Clin. Stomatol. Conf."
"Journal of Clinical Ultrasound","J. Clin. Ultrasound"
"Journal of Clinical Virology","J. Clin. Virol."
"Journal of Cluster Science","J. Cluster Sci."
"Journal of CO2 Utilization","J. CO2 Util."
"Journal of Coatings Technology and Research","J. Coat. Technol. Res."
"Journal of Cognitive Neuroscience","J. Cogn. Neurosci."
"Journal of Collective Negotiations in the Public Sector","J. Collect. Negotiations Public Sect."
"Journal of Colloid and Interface Science","J. Colloid Interface Sci."
"Journal of Colloid Science","J. Colloid Sci."
"Journal of Combinatorial Chemistry","J. Comb. Chem."
"Journal of Communicable Diseases","J. Commun. Dis."
"Journal of Communication","J. Commun."
"Journal of Communication Disorders","J. Commun. Disord."
"Journal of Community Health","J. Community Health"
"Journal of Community Health Nursing","J. Community Health Nurs."
"Journal of Community Psychology","J. Community Psychol."
"Journal of Comparative and Physiological Psychology","J. Comp. Physiol. Psychol."
"Journal of Comparative Economics","J. Comp. Econ."
"Journal of Comparative Neurology","J. Comp. Neurol."
"Journal of Comparative Pathology","J. Comp. Pathol."
"Journal of Comparative Physiology. A, Neuroethology, Sensory, Neural, and Behavioral Physiology","J. Comp. Physiol. A Neuroethol. Sens. Neural. Behav. Physiol."
"Journal of Comparative Physiology. A, Sensory, Neural, and Behavioral Physiology","J. Comp. Physiol. [A]"
"Journal of Comparative Physiology. B, Biochemical, Systemic, and Environmental Physiology","J. Comp. Physiol. [B]"
"Journal of Comparative Psychology","J. Comp. Psychol."
"Journal of Compliance in Health Care","J. Compliance Health Care"
"Journal of Computational and Theoretical Nanoscience","J. Comput. Theor. Nanosci."
"Journal of Computational Biology","J. Comput. Biol."
"Journal of Computational Chemistry","J. Comput. Chem."
"Journal of Computational Methods in Molecular Design","J. Comput. Methods Mol. Des."
"Journal of Computational Neuroscience","J. Comput. Neurosci."
"Journal of Computed Tomography","J. Comput. Tomogr."
"Journal of Computer Assisted Tomography","J. Comput. Assisted Tomogr."
"Journal of Computer Chemistry, Japan","J. Comput. Chem., Jpn."
"Journal of Computer-Aided Molecular Design","J. Comput.-Aided Mol. Des."
"Journal of Consulting and Clinical Psychology","J. Consult. Clin. Psychol."
"Journal of Consulting Psychology","J. Consult. Psychol."
"Journal of Contaminant Hydrology","J. Contam. Hydrol."
"Journal of Contemporary Dental Practice","J. Contemp. Dent. Pract."
"Journal of Contemporary Health Law and Policy","J. Contemp. Health Law Policy"
"Journal of Continuing Education in Nursing","J. Contin. Educ. Nurs."
"Journal of Continuing Education in the Health Professions","J. Contin. Educ. Health Prof."
"Journal of Controlled Release","J. Controlled Release"
"Journal of Coordination Chemistry","J. Coord. Chem."
"Journal of Cosmetic and Laser Therapy","J. Cosmet. Laser Ther."
"Journal of Cosmetic Science","J. Cosmet. Sci."
"Journal of Cranio-Mandibular Practice","J. Craniomandibular. Pract."
"Journal of Cranio-Maxillo-Facial Surgery","J. Craniomaxillofac. Surg."
"Journal of Craniofacial Genetics and Developmental Biology","J. Craniofac. Genet. Dev. Biol."
"Journal of Craniofacial Genetics and Developmental Biology. Supplement","J. Craniofac. Genet. Dev. Biol. Suppl."
"Journal of Craniofacial Surgery","J. Craniofac. Surg."
"Journal of Craniomandibular Disorders","J. Craniomandib. Disord."
"Journal of Critical Care","J. Crit. Care"
"Journal of Critical Illness","J. Crit. Illn."
"Journal of Crystal Growth","J. Cryst. Growth"
"Journal of Cultural Diversity","J. Cult. Divers."
"Journal of Cutaneous Laser Therapy","J. Cutan. Laser. Ther."
"Journal of Cutaneous Medicine and Surgery","J. Cutan. Med. Surg."
"Journal of Cutaneous Pathology","J. Cutan. Pathol."
"Journal of Cyclic Nucleotide and Protein Phosphorylation Research","J. Cyclic Nucleotide Protein Phosphor. Res."
